=== RUN TestEsportsPatch684p1
read replay 1458895412 from replays/1458895412.dem
yasha.(*OuterParser).Analyze: got a sendtable yo
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=711 serial=905 index=0 handle=1853440 name=DT_WORLD
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=363 index=1 handle=743425 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=781 index=2 handle=1599490 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=839 index=3 handle=1718275 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=773 index=4 handle=1583108 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=152 index=5 handle=311301 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=470 index=6 handle=962566 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=340 index=7 handle=696327 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=721 index=8 handle=1476616 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=279 index=9 handle=571401 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=920 index=10 handle=1884170 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=560 serial=12 index=11 handle=24587 name=DT_DOTAPlayer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=567 serial=58 index=33 handle=118817 name=DT_DOTATeam
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=567 serial=616 index=34 handle=1261602 name=DT_DOTATeam
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=567 serial=486 index=35 handle=995363 name=DT_DOTATeam
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=567 serial=130 index=36 handle=266276 name=DT_DOTATeam
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=410 serial=857 index=37 handle=1755173 name=DT_DOTA_PlayerResource
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=80 index=38 handle=163878 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=45 index=39 handle=92199 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=587 index=40 handle=1202216 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=266 index=41 handle=544809 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=276 index=42 handle=565290 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=744 index=43 handle=1523755 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=500 index=44 handle=1024044 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=492 index=45 handle=1007661 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=670 index=46 handle=1372206 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=246 index=47 handle=503855 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=933 index=48 handle=1910832 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=613 index=49 handle=1255473 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=56 index=50 handle=114738 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=307 index=51 handle=628787 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=732 index=52 handle=1499188 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=111 index=53 handle=227381 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=691 index=54 handle=1415222 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=205 index=55 handle=419895 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=200 index=56 handle=409656 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=747 index=57 handle=1529913 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=505 index=58 handle=1034298 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=760 index=59 handle=1556539 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=15 index=60 handle=30780 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=454 index=61 handle=929853 name=DT_DOTABaseAbility
